(20,0.93194);(20,0.981715773773);(20,0.981698919721);(20,0.966135613185)
(20,0.833671);(20,0.957751838673);(20,0.957765243012);(20,0.919408795471)
(20,0.927336);(20,0.980466237266);(20,0.980460066588);(20,0.96392215158)
(20,0.930518);(20,0.981307202345);(20,0.981291514708);(20,0.965483874501)
(20,0.835083);(20,0.976243371534);(20,0.976250093635);(20,0.955545944002)
(20,0.432569);(20,0.913340531879);(20,0.913310988914);(20,0.838019604038)
(20,0.80308);(20,0.971519088619);(20,0.971549702917);(20,0.947011927239)
(20,0.753929);(20,0.964969165103);(20,0.964976432918);(20,0.935485303003)
(20,0.737741);(20,0.972445312279);(20,0.972431632012);(20,0.94823130767)
(20,0.131837);(20,0.874514624394);(20,0.874460944955);(20,0.770806458674)
(20,0.658534);(20,0.963388175148);(20,0.963353660873);(20,0.93172614992)
(20,0.431329);(20,0.935613981581);(20,0.935594620735);(20,0.883012146982)
(20,0.638088);(20,0.96828563815);(20,0.968299782521);(20,0.940501018598)
(20,0.021052);(20,0.83996475931);(20,0.839948501317);(20,0.714020759804)
(20,0.498955);(20,0.953795307849);(20,0.953791276398);(20,0.914137220529)
(20,0.144787);(20,0.900500571629);(20,0.900523072621);(20,0.822271167539)
