(20,0.932223);(20,0.981838151984);(20,0.981885406482);(20,0.966271981475)
(20,0.834039);(20,0.957963779257);(20,0.958046091639);(20,0.919657610703)
(20,0.927555);(20,0.980582224206);(20,0.980635587827);(20,0.964033058618)
(20,0.930783);(20,0.981425424206);(20,0.981472914898);(20,0.965612742281)
(20,0.930898);(20,0.981472913889);(20,0.981517973619);(20,0.965642083343)
(20,0.835121);(20,0.976189012231);(20,0.976190189355);(20,0.955478050901)
(20,0.432278);(20,0.91326595765);(20,0.913270808768);(20,0.837979081054)
(20,0.803329);(20,0.97149146173);(20,0.971464589826);(20,0.946983766965)
(20,0.754348);(20,0.964955336175);(20,0.964947718001);(20,0.935493765115)
(20,0.822457);(20,0.974316707477);(20,0.974315879394);(20,0.952150995461)
(20,0.737681);(20,0.972428129459);(20,0.972474643997);(20,0.948184082303)
(20,0.131137);(20,0.874523631035);(20,0.874544496125);(20,0.770772436419)
(20,0.658031);(20,0.963361359525);(20,0.963434075445);(20,0.931640704688)
(20,0.431845);(20,0.93568586495);(20,0.935729013618);(20,0.883111105168)
(20,0.701426);(20,0.968373746682);(20,0.968420329989);(20,0.940862969642)
(20,0.638297);(20,0.968331933792);(20,0.968313053373);(20,0.940574840418)
(20,0.021275);(20,0.839965563825);(20,0.839875457778);(20,0.713924257291)
(20,0.498875);(20,0.95383965127);(20,0.953807045954);(20,0.914201168823)
(20,0.145037);(20,0.900511992611);(20,0.900476641509);(20,0.822231124276)
(20,0.568313);(20,0.961266395368);(20,0.961238416216);(20,0.927825575492)
(20,0.537743);(20,0.96363500624);(20,0.963623206206);(20,0.932040279402)
(20,0.001481);(20,0.808793474865);(20,0.808806494899);(20,0.665015021986)
(20,0.336576);(20,0.942341709904);(20,0.942323716367);(20,0.893515190045)
(20,0.023666);(20,0.866214645125);(20,0.866219778287);(20,0.765149223848)
(20,0.426926);(20,0.952558097941);(20,0.952541869816);(20,0.912142804147)
(20,0.436051);(20,0.957699711537);(20,0.957685557245);(20,0.921567402699)
(20,4.2e-05);(20,0.780415125856);(20,0.780398443556);(20,0.622229144065)
(20,0.186971);(20,0.927998149164);(20,0.927986925255);(20,0.868413584815)
(20,0.001475);(20,0.834450428042);(20,0.834404831598);(20,0.714389717576)
(20,0.28457);(20,0.941298209252);(20,0.9412851228);(20,0.89238633922)
(20,0.326832);(20,0.949743126514);(20,0.949738912027);(20,0.907911936466)
(20,0.0);(20,0.754667706613);(20,0.75469556688);(20,0.584982178531)
(20,0.070482);(20,0.910123875187);(20,0.910111528545);(20,0.838139567181)
(20,1.8e-05);(20,0.805187674185);(20,0.805220537763);(20,0.669581969798)
(20,0.148509);(20,0.92650539331);(20,0.926480173844);(20,0.867155796087)
(20,0.202334);(20,0.938095615526);(20,0.938073015773);(20,0.888837101396)
(20,0.0);(20,0.731164315875);(20,0.731133615016);(20,0.55208965796)
(20,0.009755);(20,0.888391277659);(20,0.888373456523);(20,0.802824820742)
(20,0.0);(20,0.778219062092);(20,0.778159775252);(20,0.629760136356)
(20,0.035596);(20,0.906519321536);(20,0.906507599206);(20,0.834467567764)
(20,0.037148);(20,0.917861932159);(20,0.917874328504);(20,0.857803657437)
(20,0.0);(20,0.709168079575);(20,0.709198214348);(20,0.522445696153)
(20,3.2e-05);(20,0.862996209734);(20,0.863004993541);(20,0.763635102733)
(20,0.0);(20,0.752959715719);(20,0.752980059471);(20,0.593908532447)
(20,9.5e-05);(20,0.88066831794);(20,0.880677145989);(20,0.794449424304)
