(20,0.931431);(20,0.981623757143);(20,0.981618529621);(20,0.965883279957)
(20,0.832986);(20,0.957650916595);(20,0.957693069025);(20,0.919119379743)
(20,0.926665);(20,0.980339621429);(20,0.980335185819);(20,0.963600770916)
(20,0.929964);(20,0.981202254762);(20,0.98119925563);(20,0.965210493903)
(20,0.835623);(20,0.976291746062);(20,0.976290922148);(20,0.955672370267)
(20,0.433349);(20,0.913433383585);(20,0.913447208566);(20,0.838281963634)
(20,0.803525);(20,0.971574416145);(20,0.97156124656);(20,0.947138046666)
(20,0.754582);(20,0.965026056982);(20,0.965024185896);(20,0.935623566241)
(20,0.737241);(20,0.972387639269);(20,0.972365361262);(20,0.948115623396)
(20,0.130985);(20,0.874521861037);(20,0.87446867036);(20,0.770782881954)
(20,0.657824);(20,0.96332668858);(20,0.963309686961);(20,0.931593724939)
(20,0.431838);(20,0.935687136965);(20,0.935660405174);(20,0.883121844913)
(20,0.637581);(20,0.968229378319);(20,0.968243966236);(20,0.940395769096)
(20,0.020971);(20,0.839980231182);(20,0.839986346348);(20,0.713993805659)
(20,0.499178);(20,0.953772291694);(20,0.953774272599);(20,0.914081571099)
(20,0.144901);(20,0.900485120618);(20,0.900476014808);(20,0.822213247352)
(20,0.539085);(20,0.963702179952);(20,0.963716603351);(20,0.932149884624)
(20,0.001497);(20,0.808934098891);(20,0.808901677003);(20,0.66515091031)
(20,0.337712);(20,0.942441238751);(20,0.942450099755);(20,0.893683776997)
(20,0.02374);(20,0.866309693625);(20,0.866272544016);(20,0.765229404484)
(20,0.434765);(20,0.957661187727);(20,0.957622503065);(20,0.921479770321)
(20,3.6e-05);(20,0.780420544619);(20,0.780435643042);(20,0.622251667338)
(20,0.186265);(20,0.927963693019);(20,0.927921860656);(20,0.86833969276)
(20,0.001478);(20,0.834451533772);(20,0.834435094445);(20,0.714396512923)
(20,0.32715);(20,0.949781418944);(20,0.949786185417);(20,0.907965859202)
(20,0.0);(20,0.754649802404);(20,0.754674276478);(20,0.584891634755)
(20,0.070719);(20,0.910239224124);(20,0.910259462324);(20,0.838296668033)
(20,2.1e-05);(20,0.80519001801);(20,0.805205244339);(20,0.669550334647)
(20,0.201848);(20,0.938046628352);(20,0.938055014892);(20,0.888779344576)
(20,0.0);(20,0.73101037764);(20,0.730989094078);(20,0.551924327299)
(20,0.009692);(20,0.888296774982);(20,0.8883000791);(20,0.802695615275)
(20,0.0);(20,0.778068558112);(20,0.778040821424);(20,0.629601343829)
(20,0.0374);(20,0.917770400209);(20,0.917763560908);(20,0.857646026968)
(20,0.0);(20,0.709066369572);(20,0.709074286395);(20,0.522358946379)
(20,2.7e-05);(20,0.862934116069);(20,0.862911384078);(20,0.763559988999)
(20,0.0);(20,0.752885031473);(20,0.752879300998);(20,0.593868201415)
